,care3,care1,care2
경기도 양주시,13780,경기도,양주시
부산광역시 강서구,8670,부산광역시,강서구
대전광역시 유성구,7471,대전광역시,유성구
광주광역시 북구,5440,광주광역시,북구
경기도 안산시,5007,경기도,안산시
인천광역시 계양구,4384,인천광역시,계양구
부산광역시 해운대구,3925,부산광역시,해운대구
경기도 평택시,3385,경기도,평택시
대구광역시 동구,3252,대구광역시,동구
경상남도 창원시,3064,경상남도,창원시
경기도 용인시,2933,경기도,용인시
전라북도 전주시,2892,전라북도,전주시
경기도 남양주시,2605,경기도,남양주시
경기도 화성시,2605,경기도,화성시
경기도 수원시,2445,경기도,수원시
경기도 성남시,2344,경기도,성남시
경기도 고양시,2284,경기도,고양시
울산광역시 울주군,2226,울산광역시,울주군
충청남도 천안시,2188,충청남도,천안시
경상북도 포항시,2119,경상북도,포항시
충청북도 청주시,2090,충청북도,청주시
경기도 여주시,1944,경기도,여주시
전라남도 무안군,1900,전라남도,무안군
강원도 원주시,1785,강원도,원주시
경상남도 밀양시,1771,경상남도,밀양시
인천광역시 서구,1757,인천광역시,서구
인천광역시 부평구,1703,인천광역시,부평구
전라남도 순천시,1633,전라남도,순천시
충청남도 아산시,1535,충청남도,아산시
울산광역시 남구,1365,울산광역시,남구
경상남도 거제시,1362,경상남도,거제시
전라북도 군산시,1288,전라북도,군산시
서울특별시 관악구,1189,서울특별시,관악구
전라북도 익산시,1147,전라북도,익산시
강원도 강릉시,1135,강원도,강릉시
경기도 파주시,1107,경기도,파주시
경기도 안성시,1067,경기도,안성시
경상북도 경주시,1063,경상북도,경주시
대구광역시 달성군,1054,대구광역시,달성군
대구광역시 수성구,1044,대구광역시,수성구
인천광역시 중구,1033,인천광역시,중구
대구광역시 서구,997,대구광역시,서구
강원도 춘천시,953,강원도,춘천시
충청남도 당진시,934,충청남도,당진시
서울특별시 마포구,890,서울특별시,마포구
충청남도 서산시,855,충청남도,서산시
경상남도 사천시,843,경상남도,사천시
충청북도 충주시,824,충청북도,충주시
경기도 군포시,818,경기도,군포시
경상남도 통영시,792,경상남도,통영시
경기도 하남시,749,경기도,하남시
부산광역시 연제구,743,부산광역시,연제구
경상남도 창녕군,718,경상남도,창녕군
충청남도 공주시,716,충청남도,공주시
경상남도 함안군,693,경상남도,함안군
충청남도 논산시,691,충청남도,논산시
경상북도 울진군,684,경상북도,울진군
전라남도 여수시,665,전라남도,여수시
강원도 속초시,662,강원도,속초시
인천광역시 강화군,636,인천광역시,강화군
서울특별시 양천구,634,서울특별시,양천구
경상남도 양산시,633,경상남도,양산시
전라북도 남원시,578,전라북도,남원시
전라북도 정읍시,560,전라북도,정읍시
전라남도 광양시,547,전라남도,광양시
세종특별자치시 장군면,547,세종특별자치시,장군면
서울특별시 용산구,544,서울특별시,용산구
경상북도 문경시,538,경상북도,문경시
충청남도 홍성군,525,충청남도,홍성군
경기도 오산시,520,경기도,오산시
강원도 정선군,493,강원도,정선군
경상북도 영주시,492,경상북도,영주시
충청북도 제천시,486,충청북도,제천시
경상북도 상주시,485,경상북도,상주시
전라남도 화순군,466,전라남도,화순군
서울특별시 동작구,466,서울특별시,동작구
경기도 가평군,455,경기도,가평군
전라남도 나주시,451,전라남도,나주시
경상남도 거창군,441,경상남도,거창군
경상남도 진주시,435,경상남도,진주시
강원도 동해시,435,강원도,동해시
경상북도 칠곡군,405,경상북도,칠곡군
서울특별시 강동구,398,서울특별시,강동구
강원도 홍천군,383,강원도,홍천군
충청남도 태안군,376,충청남도,태안군
충청북도 옥천군,375,충청북도,옥천군
대구광역시 중구,371,대구광역시,중구
충청북도 진천군,366,충청북도,진천군
충청남도 부여군,346,충청남도,부여군
경상북도 성주군,324,경상북도,성주군
충청남도 보령시,322,충청남도,보령시
인천광역시 동구,319,인천광역시,동구
경상북도 구미시,317,경상북도,구미시
경상북도 김천시,315,경상북도,김천시
울산광역시 동구,308,울산광역시,동구
충청북도 영동군,289,충청북도,영동군
경상북도 영천시,288,경상북도,영천시
충청남도 예산군,287,충청남도,예산군
울산광역시 북구,283,울산광역시,북구
강원도 삼척시,275,강원도,삼척시
울산광역시 중구,269,울산광역시,중구
전라북도 완주군,269,전라북도,완주군
경상남도 산청군,268,경상남도,산청군
강원도 철원군,268,강원도,철원군
전라북도 부안군,241,전라북도,부안군
경상남도 고성군,230,경상남도,고성군
경상북도 청도군,222,경상북도,청도군
경상북도 안동시,216,경상북도,안동시
경상남도 하동군,203,경상남도,하동군
경상남도 함양군,196,경상남도,함양군
경상남도 남해군,196,경상남도,남해군
경상남도 합천군,194,경상남도,합천군
전라남도 장성군,192,전라남도,장성군
경상북도 예천군,188,경상북도,예천군
전라남도 담양군,186,전라남도,담양군
전라북도 고창군,183,전라북도,고창군
전라남도 영암군,173,전라남도,영암군
전라남도 고흥군,163,전라남도,고흥군
전라남도 영광군,159,전라남도,영광군
경상북도 고령군,156,경상북도,고령군
충청남도 서천군,156,충청남도,서천군
경상북도 영덕군,155,경상북도,영덕군
충청북도 보은군,152,충청북도,보은군
충청북도 증평군,152,충청북도,증평군
강원도 평창군,149,강원도,평창군
전라남도 구례군,136,전라남도,구례군
충청남도 계룡시,136,충청남도,계룡시
강원도 태백시,134,강원도,태백시
충청북도 단양군,126,충청북도,단양군
전라남도 보성군,126,전라남도,보성군
전라남도 강진군,124,전라남도,강진군
경상북도 청송군,120,경상북도,청송군
강원도 양구군,119,강원도,양구군
전라북도 장수군,115,전라북도,장수군
전라남도 곡성군,114,전라남도,곡성군
강원도 영월군,114,강원도,영월군
강원도 고성군,108,강원도,고성군
전라북도 진안군,107,전라북도,진안군
경상북도 의성군,101,경상북도,의성군
충청북도 괴산군,101,충청북도,괴산군
전라남도 해남군,98,전라남도,해남군
경상남도 의령군,95,경상남도,의령군
강원도 화천군,95,강원도,화천군
전라북도 김제시,93,전라북도,김제시
전라남도 완도군,91,전라남도,완도군
강원도 인제군,89,강원도,인제군
강원도 양양군,85,강원도,양양군
전라남도 함평군,78,전라남도,함평군
충청남도 금산군,74,충청남도,금산군
경상북도 군위군,71,경상북도,군위군
충청남도 청양군,63,충청남도,청양군
경상북도 울릉군,63,경상북도,울릉군
전라북도 순창군,54,전라북도,순창군
전라북도 임실군,54,전라북도,임실군
경상북도 영양군,53,경상북도,영양군
전라북도 무주군,42,전라북도,무주군
경기도 부천시,38,경기도,부천시
전라남도 진도군,33,전라남도,진도군
부산광역시 수영구,9,부산광역시,수영구
전라남도 장흥군,8,전라남도,장흥군
제주특별자치도 제주시,8,제주특별자치도,제주시
강원도 횡성군,2,강원도,횡성군
인천광역시 연수구,1,인천광역시,연수구
경기도 시흥시,1,경기도,시흥시
충청북도 청원군,1,충청북도,청원군
경기도 김포시,1,경기도,김포시
care1,"Index(['경기도 양주시', '부산광역시 강서구', '대전광역시 유성구', '광주광역시 북구', '경기도 안산시', '인천광역시 계양구',
       '부산광역시 해운대구', '경기도 평택시', '대구광역시 동구', '경상남도 창원시',
       ...
       '부산광역시 수영구', '전라남도 장흥군', '제주특별자치도 제주시', '강원도 횡성군', '인천광역시 연수구',
       '경기도 시흥시', '충청북도 청원군', '경기도 김포시', 'care1', 'care2'],
      dtype='object', length=168)",care1,
care2,"Index(['경기도', '부산광역시', '대전광역시', '광주광역시', '경기도', '인천광역시', '부산광역시', '경기도',
       '대구광역시', '경상남도',
       ...
       '경기도', '전라남도', '부산광역시', '전라남도', '제주특별자치도', '강원도', '인천광역시', '경기도',
       '충청북도', '경기도'],
      dtype='object', length=166)",care2,
