"","x"
"1"," 인터넷 게임을 하다가 우연히 알게 된 여고생에게 노출 사진을 요구하며 지속적인 협박을 일삼은 대 대학생에게 징역형이 선고됐다 에 따르면 청주에 사는 대학생 ㄱ 씨는 지난해 월 중순께 인터넷 게임을 통해 알게 된 여고생 ㄴ 양과 메신저 전화를 통해 연락을 주고받았다 게티이미지뱅크그러던 중 ㄴ양이 장난삼아 자신의 허리와 허벅지가 드러난 사진을 보내오자 ㄱ씨의 태도가 돌변했다 이때부터 ㄱ씨는 노출 수위가 더 높은 사진을 더 보내지 않으면 이전에 보낸 사진을 인터넷에 유포하겠다 며 수차례에 걸쳐 ㄴ양을 협박했다 ㄴ양이 ㄱ씨의 메신저 계정을 차단하고 전화 연락을 받지 않자 그는 다른 계정으로 접속해 협박을 이어갔다 ㄱ씨는 ㄴ양이 자신의 요구를 들어주지 않자 엄포한 대로 ㄴ양의 사진을 인터넷에 유포해 차 피해를 보게 했다 청주지법 형사 단독 류연중 부장판사는 일 이런 혐의 협박 로 기소된 ㄱ씨에게 징역 개월에 집행유예 년을 선고했다고 밝혔다 ㄱ씨에게 시간의 사회봉사도 명령했다 류 부장판사는 미성년자를 협박하고 그의 사진을 인터넷에 게시하는 등 죄질이 매우 나쁘다 고 지적했다 이어 다른 피해자를 상대로 유사한 범행을 저지른 전력이 있어 엄벌이 필요하다 고 덧붙였다 스포츠경향 인기 무료만화 보기 지금 옆사람이 보고있는 뉴스 스포츠경향 무단전재 및 재배포 금지 "
"2"," 헤럴드 대구경북 김성권 기자 본격적인 더위가 시작된다는 소서 小暑 절기인 일 맑고 파란 하늘이 펼쳐진 경북 영주시 소백승마장에서 유소년들이 더위를 피해 승마체험을 하고 있다 사진 김성권 기자 본 기사는 헤럴드경제로부터 제공받은 기사입니다 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"3"," 사진제공 대성에너지 헤럴드경제 대구 김병진 기자 대성에너지는 일 대한적십자사 대구지사 별관 층에서 지역 어르신 명을 초청해 사랑의 삼계탕 나눔 봉사활동을 펼쳤다 이날 참여 직원들은 어르신들에게 식사를 대접하는 등 정성을 다해 시중을 들었다 강석기 대성에너지 대표이사는 어르신들이 정성스럽게 준비한 삼계탕을 맛있게 드시고 올 여름을 건강하게 보내셨으면 좋겠다 고 말했다 본 기사는 헤럴드경제로부터 제공받은 기사입니다 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"4"," 김혜연 시인 경남문인협회 창원문인협회 이사 씨 별세 일 오후 시 분 창원시립상복공원 장례식장 호 발인 일 오후 시 분 창원 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"5"," 노남용 말하자면 그는 범죄계의 슈퍼스타다 거침없는 살인과 강간으로 희대의 살인마 라는 타이틀을 획득했다 그럼에도 막대한 재산과 배경을 가진 부모 덕에 지은 죄에 비해 적은 형벌을 받았고 출소를 앞두고 있다 그런 노남용이 가장 두려워하는 것은 바로 자유를 잃는 것이다 여기 그를 오랫동안 기다려온 사내가 있다 보호를 전문으로 하는 특별한 회사에서 사냥꾼 이라 불리는 이 사내는 긴 시간 준비한 덫으로 그를 자유 없는 교도소로 다시 돌려보낼 생각이다 놈은 충분한 벌을 받지 못했다 고 생각하기 때문이다 사냥꾼이 노남용에게 던지는 이 찰진 대사를 들어보자 남용아 복귀해야지 형벌과 눈물이 있는 테마파크로 너 같은 놈들이 잔뜩 있는데 그놈들마저 너를 경멸하는 곳으로 반시연 지음 인디페이퍼 펴냄그러나 상대는 괴물 같은 살인마 고통을 즐기는 마조히스트에 프로파일러 기질까지 갖추고 있다 악마적이고 천재적이다 그렇기에 놈이 다니는 거리에 놓는 덫은 치밀하면서도 정밀해야 한다 조금의 빈틈도 허용되지 않는다 과연 사냥꾼 이 놓은 덫에 노남용이라는 희대의 살인마는 의심 없이 걸려들까 그리고 독자는 마지막 반전의 덫에서 헤어날 수 있을까 많은 이들이 우리 사회를 두고 여전히 가해자를 제대로 처벌하지 않는 사회 라고 생각한다 범죄에 대해 제대로 책임이 지워지지 않기에 참회는 항상 공염불이고 피해자만 불쌍한 눈물의 땅이 되었다고 말한다 멀리는 월 광주의 가해자가 그랬고 가까이는 아동 성폭행 등 공분을 산 일련의 사건이 그러하다 작가는 스릴러라는 긴장감 넘치는 소설의 틀을 통해 죄 지은 자가 제대로 된 형벌을 받지 않는 이 사회에서 우리는 과연 우리를 지킬 수 있는가 라고 묻는다 형벌이 교정의 전부는 아니지만 적어도 납득할 만한 형벌만이 진정한 사죄의 시작 임을 우리 모두 잘 알고 있지 않은가 하고 최종인 인디페이퍼 대표 싱싱한 뉴스 생생한 분석 시사 시사 구독 시사 무단전재 및 재배포 금지 "
"6"," 시사 조남진헌법재판소 이하 헌재 가 월 일 대체복무제가 없는 병역법에 대해 헌법에 합치하지 않는다는 결정을 내렸다 헌재는 년 월 일까지 병역 종류에 대체복무제가 포함되도록 병역법 규정을 바꾸라고 밝혔다 다만 정당한 사유 없이 입영 등을 거부하면 처벌하도록 한 병역법 조항에 대해서는 합헌 결정을 내렸다 병역거부자 처벌 규정 자체는 합헌이지만 신념이나 종교 등을 이유로 한 양심적 병역거부자는 처벌하지 않는 게 옳다는 뜻을 헌재가 밝힌 셈이다 이날 판결을 지켜보기 위해 헌재를 찾은 양심적 병역거부자들은 서로 어깨를 보듬으며 기뻐했다 년대부터 지금까지 양심적 병역거부로 처벌받은 사람만 만 여 명에 이른다 조남진 기자 싱싱한 뉴스 생생한 분석 시사 시사 구독 시사 무단전재 및 재배포 금지 "
"7"," 앵커 주말인 오늘 서쪽 지방은 덥지만 동쪽 지방은 선선한 날씨를 보이고 있습니다 동풍이 불며 미세먼지 걱정도 없는데요 오늘은 중계차가 더위를 날려줄 물총 축제 현장에 나가 있습니다 현장 연결해보겠습니다 박현실 캐스터 분위기가 한층 달아오르고 있다고요 캐스터 제 뒤로 수많은 인파가 보이시죠 오늘만큼은 신촌 연세로가 도심 속 물놀이장으로 탈바꿈했습니다 이 물총 하나면 이곳에선 모두가 친구가 될 수 있는데요 크게 울려 퍼지는 음악에 맞춰 물총 싸움을 하다 보면 국적과 나이 따위는 문제가 되지 않습니다 올해로 회째를 맞는 신촌물총축제는 입장료 없이 남녀노소 누구나 참여 가능합니다 이번 축제는 신촌을 차지하려는 로봇 군단과 인간의 맞대결이라는 주제로 진행되는데요 워터 슬라이드와 버블 파티 키즈 존 등 다양한 즐길 거리가 많이 마련돼있으니까요 내일까지 열리는 이번 축제 찾으셔서 더위와 스트레스를 모두 날려보시기 바랍니다 내일도 낮 동안 서쪽 지역은 덥지만 동쪽 지방은 선선하겠습니다 서울과 대전 도 광주 도까지 올라 오늘과 비슷하겠고 동해안 지역은 강릉과 울산 도에 머물며 선선하겠습니다 내일도 내륙은 맑겠지만 제주도는 오후부터 장맛비가 시작되겠습니다 다음 주에는 장마전선이 내륙으로 북상하면서 월요일은 전국에 비가 오겠고 중북부 지방은 화요일까지 비가 이어지겠습니다 내륙은 이렇게 맑은 날씨가 이어지고 있지만 동해안은 흐린 가운데 너울성 파도가 높게 일고 있습니다 바닷가로 피서 떠나신 분들은 해안가 안전사고에 각별히 주의하시기 바랍니다 지금까지 박현실입니다 시간 실시간 뉴스 생방송 보기 러시아 월드컵 기사모음 저작권자 무단전재 및 재배포 금지 "
"8"," 서울경제 일요일인 일은 전국에 구름이 많고 제주 지역은 장마전선 영향으로 안팎의 약한 비가 오겠다 일 기상청에 따르면 일 오전 최저 기온은 도 낮 최고기온은 도로 평년 기온보다 낮은 수준이다 지역별로는 서울 최저 온도가 도 최고 온도가 도까지 올라가겠다 그밖에 인천 도 수원 도 춘천 도 강릉 도 청주 도 대전 도 세종 도 전주 도 광주 도 대구 도 부산 도 울산 도 창원 도 제주 도 등이다 또한 전날인 토요일에 이어 전국 모든 지역에서 미세먼지 농도는 좋음 수준 을 보일 것으로 전망했다 다만 바람이 강하게 불어 물결이 매우 높게 일 것으로 보인다 바다의 물결은 동해 앞바다와 먼바다에서 와 남해 앞바다와 먼바다에서 와 로 높게 일겠다 서해 앞바다와 먼바다의 파고는 와 로 예상된다 정가람기자 서울경제 바로가기 이제 주식시세도 서울경제에서 확인하세요 바로가기 블록체인의 모든 것 서울경제 바로가기 저작권자 서울경제 무단 전재 및 재배포 금지 "
"9"," 일간스포츠 권지예 식품의약품안전처가 해외에서 발암 가능물질을 함유해 회수됐던 원료를 국내에서 허가받아 만들어진 개사 개 품목의 고혈압 치료제를 잠정 판매 중지와 제조 수입 중지했다고 일 밝혔다 앞서 유럽의약품안전청 이 고혈압 치료제에 쓰이는 원료의약품 중 중국산 발사르탄 에서 불순물로 니트로소디메틸아민 을 확인함에 따라 식약처가 조치에 나선 것이다 는 세계보건기구 제암연구소 가 인간에게 발암물질로 작용할 가능성 있는 물질 로 분류한 물질이다 식약처는 또 중국에서 제조한 해당 원료를 잠정 수입중지 및 판매중지 조치했다 최근 년간 국내 전체 발사르탄 의 총 제조 수입량은 만 제조 만 천 수입 만 천 이다 이 중에서 수입 및 판매 중지된 해당 중국 제조사의 발사르탄 은 같은 기간 전체 제조 수입량의 만 에 해당한다 식약처는 문제의 불순물 발생 원인과 발생 시기 등을 조사하고 있다 결과에 따라 회수 폐기 등 필요한 조치를 취할 예정이다 권지예 기자 일간스포츠 페이스북 트위터 웨이보 일간스포츠 무단 전재 및 재배포 금지 "
"10"," 지난 월 일 서울 국회 인근에서 한국의료용대마합법화운동본부 관계자가 의료용 대마 합법화를 촉구하며 생존이 불법입니다 고 적힌 손팻말을 들고 있다 서울경제 오는 월부터 희귀 난치질환자들이 자가치료용으로 마약이나 향정신성의약품을 수입할 수 있게 됐다 지금까지는 현행법상 자가치료를 위한 의료용 마약 또는 향정신성의약품은 환자 자신이 직접 휴대해서 입국하는 경우를 제외하고 수입은 허용되지 않았다 일 식품의약품안전처는 이와 같은 내용을 골자로 한 마약류 관리에 관한 법률 시행규칙 일부 개정안을 입법예고하고 월 일까지 의견수렴을 받고서 공포 후 시행한다고 밝혔다 이후 식약처는 법제처 심사 등 절차를 거쳐야 하기 때문에 이르면 월부터 시행할 수 있을 것이라고 전했다 개정안을 살펴보면 희귀 난치질환을 앓는 소수의 환자는 국내 대체 치료수단이 없으면 자가치료를 목적으로 한국 희귀 필수의약품센터를 통해 마약 또는 향정신성의약품을 수입할 수 있다 또한 환자가 자가치료 목적의 마약 또는 향정신성의약품을 휴대하고 출입국 하는 경우 필요한 구비서류를 재조정해 절차가 간소화될 것으로 보인다 특히 마약류 반출승인서를 발행하지 않는 국가 등 환자가 서류를 구비하기 어려운 상황을 고려해 해당 질환 전문의가 발행한 진단서 의약품명 회 투약량 일 투여횟수 총 투약일수 용법 등 명시된 것 가 있으면 출 입국 할 수 있다 정가람기자 서울경제 바로가기 이제 주식시세도 서울경제에서 확인하세요 바로가기 블록체인의 모든 것 서울경제 바로가기 저작권자 서울경제 무단 전재 및 재배포 금지 "
"11"," 오늘은 본격적인 여름 더위의 시작을 알리는 절기 소서인데요 서쪽 지방은 이맘때 수준의 다소 더운 날씨가 이어지고 있지만 동풍이 부는 동쪽 지방은 무척 선선합니다 서늘하고 깨끗한 동풍이 불어 들면서 심한 더위도 없고 공기도 깨끗해서 나들이 즐기기 더없이 좋은데요 현재 내륙 지방은 대체로 맑은 하늘 펼쳐져 있습니다 다만 동풍의 영향으로 동해안과 제주도를 중심으로는 오후까지 비가 오락가락하겠고요 바람도 강하게 불겠습니다 휴일인 내일은 오늘과 다르게 오후 들면서 하늘이 점차 흐려지겠고요 장마전선이 차차 북상함에 따라제주도에는 오후부터 장맛비가 내리겠습니다 내일도 서쪽은 다소 덥겠지만 동쪽은 비교적 선선하겠습니다 낮 기온 서울 도 청주도 도 광주는 도까지 오르겠고 강릉은 도에 머물겠습니다 다음 주 월요일에는 영남 지방을 제외한 전국에 장맛비가 내리겠습니다 지금까지 날씨정보였습니다 시간 실시간 뉴스 생방송 보기 러시아 월드컵 기사모음 저작권자 무단전재 및 재배포 금지 "
"12"," 노웅래 의원 공연예술통합전산망 활성화를 위한 공연법 개정안 발의 아시아경제 이종길 기자 공연 시장의 흥행 성적표 공개를 의무화하는 법안이 발의됐다 예술경영지원센터는 일 더불어민주당 노웅래 의원이 공연예술통합전산망 활성화를 위한 공연법 개정안 을 대표 발의했다고 전했다 공연장 운영자 공연 기획 제작자 입장권 판매자가 특정 공연의 관람객 수와 입장권 판매액을 공연예술 통합전산망 에 공개하는 것을 의무화하는 내용이다 이행하지 않을 경우 만원 이하의 과태료를 부과하게 된다 애초 만원 이하로 논의됐으나 지난 월 관련 공청회에서 나온 공연업계의 의견을 반영해 하향 조정했다 그동안 공연계에는 년 구축한 공연예술 통합전산망이 시장 전체를 반영하지 못한다는 지적이 잇따랐다 정보 제공 주체인 기획 제작사 측이 자료 공개 여부를 자율적으로 선택할 수 있어 자료 수집에 한계가 있다는 주장이다 예술경영지원센터는 전산망을 통한 데이터 수집 비율은 전체 시장의 에 불과했다 며 전산망이 활성화된다면 공연 시장의 신뢰도 투명성 제고 및 향후 공연 시장 발전을 위한 정책과 마케팅 전략 수립에 기여할 수 있다 고 했다 이종길 기자 네이버 채널 설정하고 룰렛 당첨 확인 양낙규의 군사이야기 재미와 신기 과학을읽다 "
"13"," 서울 일 서울 가톨릭대에서 열린 국제심포지엄에서 참석자들이 기념촬영하고 있다 왼쪽부터 교황청 외무부 한국 담당 로베르토 루키니 몬시뇰 교황대사관 참사관 마르코 스프리치 몬시뇰 주한 교황대사 알프레드 수에레브 몬시뇰 교황청 외무장관 폴 갤러거 대주교 천주교 서울대교구장 염수정 추기경 한국천주교주교회의 의장 김희중 대주교 한홍순 전 주교황청 대사 가톨릭대학교 총장 원종철 신부 가톨릭대학교 제공 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"14"," 지난 월 일 스위스 여성참정권 운동을 다룬 영화 거룩한 분노 감독 페트라 볼프 가 개봉됐다 스위스는 유럽에서 가장 늦게 여성의 참정권을 인정한 나라다 년에야 비로소 스위스 여성은 남성과 동등하게 투표권을 행사할 수 있었다 거룩한 분노 는 년 스위스의 보수적인 작은 마을에서 참정권을 얻기 위해 여성들이 파업에 나서는 이야기를 그린 작품이다 우리가 원하는 건 나답게 사는 것뿐 이라며 진실된 모습을 위해 비로소 용기를 낸 그들의 찬란한 이야기가 전개된다 박자영 인턴기자 "
"15"," 신카이 마코토展 포스터 아시아경제 이종길 기자 영화 너의 이름은 을 연출한 신카이 마코토 감독의 전시가 오는 일부터 월 일까지 예술의전달 한가람미술관에서 열린다 데뷔 주년을 맞아 마련된 월드투어 전시다 데뷔작인 별의 목소리 부터 구름의 저편 약속의 장소 초속 센티미터 별을 쫓는 아이 언어의 정원 너의 이름은 등 신카이 감독의 다양한 작품 세계를 만날 수 있다 각 작품들의 원화를 비롯해 설정 자료 애니메이션 콘티 작화 컬러도감 배경 아트웍 등이다 함께 작업한 작화 감독 안도 마사시 캐릭터 디자이너 타나카 마사요시 등의 섬세한 감성도 엿볼 수 있다 전시를 기획한 웨이즈비의 임헌란 이사는 도 와이드 스크린 프로젝터 매핑 등으로 초속 센티미터 속 벚꽃나무 언어의 정원 속 비 오는 정원 너의 이름은 속 도쿄와 히다 하늘 등을 그대로 재현할 예정 이라고 했다 일본 시즈오카와 도쿄 오사카 중국 상하이 등에서 큰 인기를 모은 스케치 존 도 보다 넓은 규모로 준비하고 있다 고 했다 티켓 가격은 성인이 만 원 청소년이 만 원 어린이가 원이다 이종길 기자 네이버 채널 설정하고 룰렛 당첨 확인 양낙규의 군사이야기 재미와 신기 과학을읽다 "
"16"," 서울 영등포구 여의도 한강공원 물빛광장에서 학생들이 물놀이를 하는 모습 사진 뉴시스 이영환 기자 절기 중 열한 번째 절기인 소서 小暑 는 작은 더위 라는 뜻이 있어 본격적인 여름의 시작을 알린다 소서인 오늘 일 은 다른 절기와 달리 평년보다는 덜 무더운 날씨와 미세먼지 없는 깨끗한 하늘을 보이고 있다 이날 기상청에 따르면 소서인 오늘 전국은 동해 북부해상 고기압의 가장자리에 들어 가끔 구름이 많다 북동쪽에서 찬 공기가 유입되면서 기온분포는 평년보다 조금 낮게 나타난다 이날 낮 최고기온은 서울 도 대전 도 대구 도 전주 도 광주 도 부산 도 춘천 도 강릉 도 제주 도 울릉도 독도 도 등이다 미세먼지는 좋음 으로 나타나 하늘은 맑고 푸르지만 자외선 지수는 전 권역에서 오후 나쁨 을 보여 선글라스 착용과 자외선 차단제를 바르는 대비가 필요하다 김창성 기자 머니 페이스북 최신 웹툰이 매일 공짜 "
"17"," 서울 교황청 외무장관 폴 갤러거 대주교가 일 서울 반포동 가톨릭대에서 열린 국제심포지엄에서 강연하고 있다 가톨릭대학교 제공 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"18"," 서울 최재구 기자 일 서울 광화문 세종로공원에서 외교부와 국민외교센터 주최로 열린 국민외교 자유발언대 에서 한 시민이 발언하고 있다 외교부는 이번 행사가 국민의 의견을 직접 청취하고 정책에 반영하기 위한 광장형 대국민 소통 이벤트라고 설명했다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"19"," 서울 최재구 기자 일 서울 광화문 세종로공원에서 외교부와 국민외교센터 주최로 열린 국민외교 자유발언대 에서 한 시민이 발언하고 있다 외교부는 이번 행사가 국민의 의견을 직접 청취하고 정책에 반영하기 위한 광장형 대국민 소통 이벤트라고 설명했다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"20"," 서울 최재구 기자 일 서울 광화문 세종로공원에서 외교부와 국민외교센터 주최로 열린 국민외교 자유발언대 에서 한 시민이 발언하고 있다 외교부는 이번 행사가 국민의 의견을 직접 청취하고 정책에 반영하기 위한 광장형 대국민 소통 이벤트라고 설명했다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"21"," 서울 최재구 기자 일 서울 광화문 세종로공원에서 외교부와 국민외교센터 주최로 열린 국민외교 자유발언대 에서 한 시민이 발언하고 있다 외교부는 이번 행사가 국민의 의견을 직접 청취하고 정책에 반영하기 위한 광장형 대국민 소통 이벤트라고 설명했다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"22"," 서울 최재구 기자 맑은 하늘이 드러나며 강한 햇볕이 도심을 달군 일 서울 광화문 주한미국대사관을 경비하는 경찰들이 햇볕을 피하기 위해 우산을 쓰고 경계근무를 서고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"23"," 서울 최재구 기자 맑은 하늘이 드러나며 강한 햇볕이 도심을 달군 일 서울 광화문 주한미국대사관을 경비하는 경찰들이 햇볕을 피하기 위해 우산을 쓰고 경계근무를 서고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"24"," 서울 최재구 기자 맑은 하늘이 드러나며 강한 햇볕이 도심을 달군 일 서울 광화문 주한미국대사관을 경비하는 경찰들이 햇볕을 피하기 위해 우산을 쓰고 경계근무를 서고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"25"," 서울 최재구 기자 본격적인 더위가 시작된다는 소서 小暑 인 일 서울 광화문 광장을 부모와 함께 나들이 온 어린이들이 광장 분수대에서 물놀이를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"26"," 로봇과 물총 싸움을 제 회 신촌 물총축제 앵커 더위가 기승일 때는 물놀이 만한 것도 없죠 신촌에서는 올해 회째를 맞이한 물총축제가 한창인데요 현장에 나가있는 뉴스 캐스터 연결해보겠습니다 유해인 캐스터 캐스터 저는 지금 신촌 연세로에 나와 있습니다 오늘은 모르는 사람에게 마음껏 쏴도 괜찮은 날입니다 저도 이렇게 총을 들고 있으니까 많은 분들이 물을 쏘시는데 반격을 못하는 게 아쉬울 따름입니다 오늘 물총과 함께할 수 있는 다양한 이벤트까지 가득 준비돼 있습니다 가장 먼저 눈길을 사로잡는 건 역시 메인 이벤트인 물총대전입니다 로봇 모양으로 만들어진 주 무대를 중심으로 시민들은 로봇으로부터 신촌 영토를 지키기 위해 아주 치열한 물총싸움을 벌이는데요 이 과정에서 플라잉 퍼포먼스와 기계군단 퍼포먼스가 펼쳐집니다 또 워터케논과 워터커튼 워터레이저 등으로 시원한 물바람 맞을 준비하셔야겠고요 저녁까지 이어지는 축제에 들이 함께해 지루할 틈 없이 신나는 음악과 함께 물총놀이를 즐기실 수 있습니다 특히 올해는 에어바운스 워터슬라이드 등으로 꾸며진 키즈존에서 아이들도 더 즐겁게 축제에 참여할 수 있습니다 축제는 내일까지 이어집니다 입장제한 없이 누구나 무료로 참여가 가능하지만 탈의실과 물품보관소 이용은 따로 이용권을 예매해야 하니까 참고하시기 바랍니다 여름에는 역시 물총축제죠 이 추억도 되새기고 시원함까지 빵야빵야 날려버리시기를 바랍니다 지금까지 신촌 연세로에서 유해인입니다 기사문의 및 제보 카톡 라인 네이버 채널 구독 생방송 시청 대한민국 뉴스의 시작 앱 다운받기"
"27"," 서울 최재구 기자 본격적인 더위가 시작된다는 소서 小暑 인 일 서울 광화문 광장을 부모와 함께 나들이 온 광장 분수대에서 물놀이를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"28"," 서울 최재구 기자 맑은 하늘이 드러나며 강한 햇볕이 도심을 달군 일 서울 광화문 광장을 부모와 함께 찾은 어린이들이 광장 분수대에서 물놀이를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"29"," 전남 신안에서 항만에 접안하던 여객선이 선착장에 부딪혀 승객 수십 명이 중경상을 입는 사고가 발생했다 에 따르면 일 오전 시쯤 전남 신안 팔금도 고산 선착장에 입항하던 급 여객선 ㄱ호가 선착장 부두 시설과 충돌했다 여객선 위 사진은 기사 내용과 직접적인 관련이 없음 게티이미지 코리아사고 충격으로 ㄱ호에 탄 채 하선 대기 중이던 승객 명이 배 안에서 넘어지면서 크고 작은 상처를 입었다 신고를 받고 출동한 해경은 부상자 중 경상자 명을 팔금도로 옮겨 치료하고 나머지 부상자 명을 목포와 광주로 이송했다 ㄱ호는 승객과 선원 등 명과 차량 대를 싣고 이날 오전 시 분쯤 송공항을 출발해 고산 선착장에 도착했다 사고는 부두 접안과정에서 ㄱ호 램프와 부두 선착장 설비가 충돌하면서 사고가 발생한 것으로 알려졌다 해경은 정확한 사고원인을 조사 중이다 스포츠경향 인기 무료만화 보기 지금 옆사람이 보고있는 뉴스 스포츠경향 무단전재 및 재배포 금지 "
