"","x"
"30"," 날씨 절기 소서 공기 깨끗 내일 제주 장맛비 앵커 주말인 오늘 하늘도 맑고 또 미세먼지도 없는 쾌적한 날씨를 보이고 있습니다 자세한 날씨는 기상캐스터 연결해서 알아보겠습니다 김지은 캐스터 캐스터 네 여의도 물빛광장에 나와 있습니다 벌써 절기는 본격 더위를 알리는 소서에 들어섰지만 선선한 바람이 어찌나 쾌적한지 봄이나 가을을 더 연상케하죠 오늘 맑은 하늘에 볕은 좀 뜨겁지만 습도가 낮아서 그리고 선선한 바람이 불어져서 활동하기는 더없이 좋은 날씨를 보이고 있습니다 깨끗하고 선선한 동풍이 불어줘서 그렇습니다 지금 동풍이 산맥을 넘으면서 습기를 떨어뜨리고 또 건조한 상태로 들어오고 있습니다 다만 동풍을 정통으로 맞는 동쪽지방은 대부분 도 안팎까지 떨어져서 좀 서늘할 정도고요 하늘에 구름이 많은 가운데 비도 오락가락하고 있습니다 또 동해상에서는 거센 물결이 일고 있고 동해안에서는 너울성 파도도 밀려와서 안전사고에는 유의하셔야겠습니다 반면 서쪽 지방은 구름 한 점 없는 아주 맑은 하늘에 기온도 크게 올라 있습니다 현재 시각 서울이 도 전주 도로 대부분 도 안팎까지 오르겠습니다 습도도 낮아서 큰 더위는 없지만 볕이 뜨거워서 강한 자외선은 조심해야겠습니다 일요일 내일은 오늘과 다르게 흐려지겠고 장마전선이 북상하겠습니다 오후부터 제주도에 장맛비가 내리겠고 월요일에는 영남을 제외한 전국에 비가 내리겠습니다 한편 태풍 마리아는 현재 매우 강한 중형급으로 오키나와 동남쪽 부근해상에 있습니다 다음 주 중반에 중국 남단에 상륙할 전망인데 아직 진로는 유동적이어서 상황은 더 지켜봐야겠습니다 지금까지 여의도 물빛광장에서 전해 드렸습니다 김지은 기상캐스터 기사문의 및 제보 카톡 라인 네이버 채널 구독 생방송 시청 대한민국 뉴스의 시작 앱 다운받기"
"31"," 강릉시 옥계면 현내리 고욤나무 아시아경제 이종길 기자 강원도 강릉시 옥계면 현내리를 년간 지켜온 고욤나무가 일 천연기념물로 지정 예고됐다 높이 가슴높이 둘레 지표 부분 둘레 의 노거수다 주위에는 토지와 마을을 수호화는 서낭신을 모신 서낭당이 있다 이곳 마을 주민들은 고욤나무를 서낭당 신목 神木 으로 여겨 정월대보름과 음력 동지에 안녕을 기원하는 서낭제를 지낸다 감나무과 낙엽 활엽수인 고욤나무는 감나무를 접붙일 때 사용하는 대목 臺木 이다 감이 제사상에 올리는 전통 과실이어서 고욤나무도 중요하게 인식됐다 문화재청은 규모 면에서 희귀하고 고유한 형태를 잘 유지하고 있어서 학술 가치가 높을 뿐만 아니라 민속적 역사적 가치도 있다 주변에 높은 건물이나 조형물이 없어 경관 측면에서도 중요하다 고 설명했다 예고 기간 일 동안 각계 의견을 수렴한 뒤 문화재위원회 심의를 거쳐 천연기념물 지정 여부를 결정할 방침이다 앞서 천연기념물로 지정된 충북 보은 용곡리의 고욤나무 제 호 도 수령은 년으로 추정된다 높이도 로 비슷하다 이종길 기자 네이버 채널 설정하고 룰렛 당첨 확인 양낙규의 군사이야기 재미와 신기 과학을읽다 "
"32"," 일 오전 시 분쯤 전북 김제시 만경면 몽산리에 있는 두부 생산공장에서 불이 나 억 만원 소방서 추정 의 재산 피해를 내고 여 분 만에 진화됐다 에 따르면 공장 인근에 사는 주민이 연기와 불꽃이 나는 것을 보고 에 신고했다 공장 절반가량 과 기계 설비 등이 탔으나 다행히 인명피해는 없었다 공장 화재 위 사진은 기사 내용과 직접적인 관련이 없음 게티이미지 코리아경찰은 전기설비에 이상이 생겨 불이 난 것이 아닌가 보고 정확한 화재 원인을 조사하고 있다 스포츠경향 인기 무료만화 보기 지금 옆사람이 보고있는 뉴스 스포츠경향 무단전재 및 재배포 금지 "
"33"," 사진 헤럴드경제 스타 컬처팀 최민호 기자 러시아와 크로아티아가 강전 길목에서 만난다 러시아와 크로아티아는 일 오전 시 한국시간 러시아 피시트 스타디움에서 러시아 월드컵 강전 경기를 치른다 역대전적으로 보면 크로아티아가 조금 앞서 있다 크로아티아는 지금껏 러시아를 만나 승 무 패를 기록했다 하지만 홈그라운드의 이점을 만끽하고 있는 개최국 러시아의 기세가 만만치 않다 개막전에서 사우디아라비아에 대 대승을 거둔 이후 승승장구 중이다 조별예선 차전에서 우루과이에 완패하긴 했으나 강 진출에는 성공했다 강에서는 강력한 우승 후보였던 스페인까지 꺾었다 이에 러시아가 홈 팬들의 응원 속에 강 진출까지 성공할지 관심이 모아지고 있다 한일 월드컵에서도 대한민국 대표팀은 국민들의 열광적인 응원을 받으며 강 신화를 이루어냈다 년 독일 월드컵에서는 개최국 독일이 위를 차지했다 다만 년 남아공 월드컵에서는 개최국 남아프리카공화국이 조별예선에서 탈락했다 년 브라질 월드컵에서 브라질 역시 강까지 올라가 위로 월드컵을 마무리했다 이에 과연 러시아가 크로아티아를 꺾고 강 신화를 쓸 수 있을지 축구 팬들의 관심이 모아진다 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"34"," 사진 헤럴드경제 스타 컬처팀 최민호 기자 월드컵 강 진출국이 가려지고 있다 월드컵 강 진출국 윤곽이 드러나고 있다 일 오후 시 이하 한국시간 열린 러시아 월드컵 강전 첫 경기에서 프랑스는 우루과이를 꺾고 강전에 올랐다 일 오전 시 열린 두 번째 경기에서는 벨기에가 전통의 강호 브라질에 대 승리를 거두며 강행 티켓을 획득했다 이어 일 오후 시 스웨덴과 잉글랜드가 맞붙는다 러시아와 크로아티아는 일 오전 시 이번 월드컵 강전 마지막 경기에 임한다 팀 중 이번 월드컵 준결승전 무대를 밟을 수 있는 건 팀뿐이다 특히 이번 러시아 월드컵 강전은 강력한 우승후보들이 일찍이 짐을 싸며 익숙한 이름들이 보이지 않아 축구 팬들의 이목이 집중된다 디펜딩 챔피언 독일은 조별예선에서 탈락해 일찌감치 이번 월드컵 일정을 마무리했다 스페인 아르헨티나 포르투갈도 강 무대를 끝으로 퇴장했다 월드컵 역대 최다 우승국 회 이라는 타이틀을 자랑하는 브라질도 강에서 탈락했다 현재 강에 올라온 팀 중 월드컵 우승컵을 들어 올린 적이 있는 팀은 프랑스뿐이다 프랑스 월드컵 우승 준결승전 티켓을 두고 강전을 치를 팀들 중에서도 잉글랜드만이 영국 월드컵에서 우승한 이력이 있다 과연 어떤 팀들이 강에서 맞붙고 또 결승을 치르게 될지 관심이 모아진다 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"35"," 수상스포츠와 다양한 체험행사 제 회 아라마린 페스티벌 앵커 여름에 또 수상스포츠 즐기는 분들도 많이 계시죠 김포 아라뱃길에서는 수상스포츠를 직접 체험할 수 있는 행사가 진행되고 있습니다 현장에 나가 있는 뉴스캐스터 연결해 보겠습니다 신세미 캐스터 케스터 저는 지금 김포 아라마리나에 나와 있습니다 여름하면 수상스포츠를 빼놓을 수가 없죠 제가 나와 있는 이곳에서는 아라마린 페스티벌이 열리고 있는데요 이곳에 참가한 참가 선수분들과 이야기 한번 나누어보도록 하겠습니다 안녕하세요 오늘 어떻게 참여하게 되셨나요 오늘 결과가 이미 나와 있는 것으로 알고 있는데요 어떻게 되셨나요 친구분은 어떻게 되셨나요 위와 위가 이렇게 모여 있는데요 가 좀 생소한 분들이 있으실 것 같아서요 좀 설명 부탁드립니다 여기 아라뱃길에서 를 즐겨보셨는데요 어떠셨나요 올해로 회째를 맞은 아라마린 페스티벌에서는 수상레저 대회와 다양한 수변 프로그램을 즐길 수 있습니다 아라뱃길에서는 카약과 요트 페들보드 이렇게 종류의 수상대회가 열리고 있습니다 힘차게 물살을 가르는 요트를 바라만 봐도 더위가 싹 날아가는 느낌입니다 시민들을 위해 마련된 체험장에서는 카약과 수상자전거 범퍼보트 등을 무료로 즐길 수 있습니다 이밖에도 수변 문화광장에는 먹거리와 즐길거리도 다양한데요 수상스포츠를 즐긴 뒤 허기진 배를 책임질 푸드트럭과 우리 귀를 즐겁게 해 줄 음악콘서트도 준비돼 있습니다 또 지역민들이 준비한 로컬오픈마켓과 자선바자회도 열린다고 합니다 이번 축제는 내일까지 이어집니다 주말에 가족과 또는 친구와 이곳에서 즐거운 시간 보내보시기 바랍니다 지금까지 김포 아라마리나에서 신세미입니다 기사문의 및 제보 카톡 라인 네이버 채널 구독 생방송 시청 대한민국 뉴스의 시작 앱 다운받기"
"36"," 일 오전 시 분쯤 전북 군산시 미장동 아파트에서 원인이 밝혀지지 않은 불이 났다 에 따르면 이 불로 층에 사는 주민 명이 옥상으로 대피해 인명 피해는 발생하지 않았다 군산 미장동 아파트 불 독자제공 불이 나자 소방당국은 소방차 여대와 여명 소방대원을 투입해 분에 진화했다 경찰과 소방당국은 정확한 화재 원인과 재산 피해 등을 조사 중이다 스포츠경향 인기 무료만화 보기 지금 옆사람이 보고있는 뉴스 스포츠경향 무단전재 및 재배포 금지 "
"37"," 일 나혼자산다 게스트로 출연한 마마무의 화사가 홀로 식당을 찾아 곱창 먹방 을 즐기는 모습 방송캡처 헤럴드경제 이슈섹션 그룹 마마무의 화사가 곱창을 맛있게 먹는 모습이 방송을 통해 전해지면서 유명 곱창 맛집은 평소보다 더 긴 줄을 서서 기다리는 수고로움은 물론 일부 업장에서는 곱창 품절 사태로 군침이 아닌 눈물을 삼키며 돌아서야 했다는 전언이 들린다 고소한 곱창의 맛을 즐겨 먹는 일반인들과 달리 의사들은 피해야 할 음식으로 꼽았다 헬스조선이 의사 약사 영양학자 명을 대상으로 자신의 건강을 위해 되도록 피하는 음식 을 조사했다 이중 곱창과 막창이 위를 차지했다 가장 피하는 음식 위에는 탄산음료 위는 햄 소시지 등 육가공 식품을 꼽았다 곱창 종류를 피하는 이유로는 조리 과정에서 있을지 모르는 오염 등 위생 상태 를 가장 많이 꼽았다 이밖에 동물의 배설물이 담긴 부위이므로 위생적 문제 건강에 좋지 않은 동물성 포화지방이 많은 부위 구울 때 다이옥신 등 발암 물질발생 높은 지방 함량으로 고콜레스테롤혈증 유발 등을 원인으로 지적됐다 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"38"," 경기 시흥 배곧신도시의 한 노래방에서 아이가 룸에서 소변 본 것을 나무란다는 이유로 업주를 폭행하고 기물을 파손한 대가 검찰에 넘겨졌다 경기 시흥경찰서는 월 일 상해 등 혐의로 ㄱ씨 에 대해 기소의견을 달아 검찰에 송치했다고 일 밝혔다 위 사진은 기사 내용과 직접적인 관련이 없음 게티이미지 에 따르면 ㄱ씨는 월 일 시흥시 정왕동의 한 노래방에서 업주 ㄴ 씨를 수차례 폭행하고 노트북과 쓰레기통 등 집기를 부순 혐의를 받고 있다 사건은 ㄱ씨가 소변이 마렵다는 살 아이를 노래방 룸 안에서 용변을 보게 하면서 시작됐다 카운터에 설치된 폐쇄회로화면 으로 이를 확인한 ㄴ씨가 찾아와 항의하자 ㄱ씨는 뭘 그렇게까지 화를 내느냐 라며 말다툼을 벌였고 급기야 폭행으로 이어진 것으로 조사됐다 ㄱ씨는 경찰 조사에서 ㄴ씨와 같은 아파트에 살아 안면이 있는 사이였다 라며 이웃 간에 그 정도는 이해해줄 줄 알았는데 ㄴ씨가 항의해 화가 나서 그랬다 라고 진술했다 한편 이 사건은 월 일 한 인터넷 커뮤니티에 신도시 오줌사건을 제가 겪었습니다 라는 글이 올라오면서 많은 누리꾼의 공분을 샀다 자신을 노래방 업주의 아내로 소개한 글쓴이는 남편이 ㄱ씨에게 용변은 화장실에 가서 처리해야 한다 라고 말했지만 ㄱ씨는 기분이 나쁘다며 욕설을 퍼부었다 라며 아이 엄마는 상황을 보더니 말리기는커녕 별것 아닌 일로 왜 자기 남편한테 이야기해서 화나게 하느냐 아이들이 소변 좀 눌 수도 있지 라며 되려 따졌다 라고 주장했다 스포츠경향 인기 무료만화 보기 지금 옆사람이 보고있는 뉴스 스포츠경향 무단전재 및 재배포 금지 "
"39"," 스포츠서울 김종철기자 전세계로부터 품질과 안전성을 인정받은 수입매트리스 브랜드로는 씰리템퍼매트리스 가 대표적이다 사용하는 사람의 체형에 따라 자연스럽게 변화하는 신소재 뛰어난 통기성과 지지력 등이 씰리템퍼매트리스의 경쟁력이라고 할 수 있다 특히 수면의 질을 중요시 여기는 현대인들이 늘어나면서 씰리템퍼매트리스의 인기 또한 높아지고 있는 상황이다 이에 씰리템퍼매트리스를 저렴하게 구입할 수 있는 창고형 할인매장에 대한 관심도 증가하는 추세다 수원동탄가구단지와 천안아산가구단지 하남본점을 운영 중인 오렌지 매트리스는 씰리템퍼매트리스를 시중가보다 가량 저렴하게 구입할 수 있는 창고형할인매장이다 이는 직수입 및 고객 직거래 로드샵보다 저렴한 매장 운영비용 덕분에 가능했다 오렌지 매트리스는 평에 이르는 넓은 매장에서 씰리템퍼매트리스와 스턴스앤포스터 아메리칸스타 브로힐까지 여종의 다양한 수입매트리스를 보유하고 있다 고객들은 넓은 매장을 둘러보며 매트리스 위에 직접 누워본 뒤 마음에 드는 매트리스를 구매할 수 있다 게다가 오렌지 매트리스는 최근 라돈 매트리스 이슈로 인해 피해를 입은 고객들을 위로하고자 할인 이벤트를 준비했다 라돈 매트리스 인증 사진을 제시하면 대체 매트리스를 구매할 때 할인을 받을 수 있다 앞서 오렌지 매트리스는 전 제품에 대한 라돈 자체 테스트를 실시 제로에 가까운 측정치를 공개해 화제를 모으기도 했다 또한 신혼부부들이 청첩장을 지참하고 방문 시 추가 할인 아파트 입주 후 아파트카페에 리뷰를 작성한 경우 추가 할인을 받을 수 있어 경제적이다 정규직 배송 전문 직원이 오렌지 매트리스 제품을 친절하게 배송해주며 기존 매트리스는 직접 옮겨준다 서울과 수도권은 무료배송도 실시하고 있다 스포츠서울 공식 페이스북 팟캐스트 스포츠서울 야구 파일 스포츠서울 공식 유튜브 채널 기사제보 스포츠서울 "
"40"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"41"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"42"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"43"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 한 참가자가 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"44"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"45"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"46"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가한 어린이가 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"47"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가한 어린이가 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"48"," 더위를 향해 쏴라 신촌 물총축제 앵커 더위가 기승일 때는 물놀이 만한 것도 없죠 신촌에서는 올해 회째를 맞이한 물총축제가 한창인데요 현장에 나가있는 뉴스 캐스터 연결해보겠습니다 유해인 캐스터 캐스터 저는 지금 신촌 연세로에 나와 있습니다 이처럼 물총을 들고 있으니까 계속해서 시원한 물줄기를 맞고 있습니다 올해 회째를 맞이한 신촌 물총축제의 이번 콘셉트는 신촌을 점령한 안드로이드 라는 콘셉트입니다 물총을 이용한 이벤트까지 있습니다 가장 먼저 눈길을 사로잡는 건 역시 메인이벤트인 물총대전입니다 로봇 모양으로 만들어진 주무대를 중심으로 시민들은 로봇으로부터 신촌영토를 지키기 위해 아주 치열한 시원한 물총싸움을 벌이는데요 이 과정에서 플라잉 퍼포먼스와 기계군단 퍼포먼스가 펼쳐집니다 또 워터캐논과 워터커트 워터레이저 등으로 시원한 물벼락을 맞을 준비를 하셔야 하겠고요 저녁까지 이어지는 축제에 들이 함께해 지루할 틈이 없이 신나는 음악과 함께 물총놀이를 즐기실 수 있습니다 특히 올해는 에어바우스 워터슬라이드 등으로 꾸며진 키즈존에서 아이들도 더 즐겁게 축제에 참여할 수가 있습니다 축제는 내일까지 이어집니다 입장 제한 없이 누구나 무료로 참여가 가능하지만 탈의실과 물품보관소 이용은 따로 이용권을 예매해야 하니까요 참고하시기를 바랍니다 오늘은 더위의 시작을 알리는 절기 소서입니다 이곳에 오셔서 더위는 물러내시고 시원함에 흠뻑 젖어보시기를 바랍니다 지금까지 신촌 연세로에서 유해인입니다 기사문의 및 제보 카톡 라인 네이버 채널 구독 생방송 시청 대한민국 뉴스의 시작 앱 다운받기"
"49"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 플라잉 퍼포먼스 중인 스턴트맨을 향해 물총을 쏘고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"50"," 앵커 청춘과 음악 떼려야 뗄 수 없는 불가분의 관계죠 요즘 유행하는 랩으로 이 시대 청춘의 면모를 날카롭고 유쾌하게 포착해 낸 영화 변산 이 개봉했습니다 새 영화 소식 윤현숙 기자가 소개합니다 기자 영화 변산 꿈은 유명 래퍼 현실은 오디션 예선 탈락 무명 래퍼 학수가 한 통의 전화를 받고 고향으로 내려가며 벌어지는 소동을 그린 영화 변산 입니다 들러붙는 옛 친구들 불편한 아버지 지우고 싶은 기억들만 가득한 고향에서 힘겹게 과거와 화해하고 청춘의 다음 행을 채울 용기와 위로를 얻는 학수와 친구들의 모습이 유쾌하게 그려집니다 박정민 영화 변산 학수 역 때로는 우스꽝스럽게 유쾌하게 풀어드리는 게 보는 관객들에게 조금 더 그쪽이 위로가 되지 않을까 포세대 의 고민과 불안을 요즘 대세 랩에 녹여 전달한 영화는 노을지는 서해 바다를 배경으로 한 뮤직비디오처럼 끝까지 경쾌한 호흡이 인상적입니다 영화 앤트맨과 와스프 어벤져스 의 열기가 식기도 전에 찾아온 또 한편의 마블 영화입니다 크기를 가지고 놀며 액션과 유머를 조합하는 앤트맨 이 여성 히어로 와스프 와 함께 돌아왔습니다 전편를 능가하는 속편이라는 평가 속에 쿠키 영상 등 잔재미도 덤입니다 영화 햄스테드 서로 다른 환경 속에 살아온 에밀리 와 도널드 강제 퇴거 위기에 놓인 도널드의 숲 속 오두막을 함께 지키는 과정에서 진정한 사랑과 행복의 의미를 찾아갑니다 런던 북서쪽의 햄스테드 를 배경으로 실화에 바탕을 둔 로맨틱 코미디입니다 영화 잉글랜드 이즈 마인 브릿팝의 전설이자 수많은 음악인에게 영감을 줬던 밴드 더 스미스 년대 보컬 모리세이의 발자취를 따라가는 영화 잉글랜드 이즈 마인 도 개봉했습니다 윤현숙 입니다 시간 실시간 뉴스 생방송 보기 러시아 월드컵 기사모음 저작권자 무단전재 및 재배포 금지 "
"51"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 플라잉 퍼포먼스를 하는 스턴트맨을 향해 물총을 쏘고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"52"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 플라잉 퍼포먼스를 향해 물총을 쏘고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"53"," 서울 류효림 기자 일 오후 서울 서대문구신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 플라잉 퍼포먼스를 하는 스턴트맨을 향해 물총을 쏘고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"54"," 아시아경제 이종길 기자 의학서적인 의방유취 醫方類聚 가 우리말로 쉽게 풀이돼 발간된다 세종대왕기념사업회는 교육부의 고전문헌국역지원사업의 일환으로 의방유취의 번역을 시작해 첫 번째 책인 국역 의방유취Ⅰ 총론Ⅰ 을 출간했다고 일 전했다 의방유취는 조선 세종이 년에 편찬을 명해 년 뒤에 완료한 방대한 종합 의학 서적이다 허준이 지은 동의보감 東醫寶鑑 에 인용된 중요한 서적으로 의학 이론을 정리한 의경 醫經 과 치료법에 치중한 방서 方書 를 망라한다 일본 궁내청에 여 권이 있고 한독의약박물관에 권이 있다 국립중앙도서관은 년대에 궁내청 소장본을 마이크로필름으로 만들어 들여왔다 사업회는 이를 저본으로 삼아 권 분량으로 번역한다는 계획을 세웠다 작업에는 한의학 관련 학문 연구자들이 대거 참여한다 총론Ⅰ은 이경록 연세대 의사학과 겸임교수가 맡았다 이 교수는 해제 解題 에서 의방유취는 총론 사기 邪氣 로 인한 질병 신체 부위별 질병 증상에 따른 질병 응급과 외상 양생 부인과 소아과 순으로 병문 病門 아흔한 개를 다룬다 고 소개했다 의방유취의 의학론은 유불도 儒佛道 의 이치가 하나라는 삼교회통 三敎會通 논리로 귀결된다 며 이번 편찬을 계기로 동아시아 의학의 형성과 전개 과정이 일목요연해졌다 고 평했다 최홍식 세종대왕기념사업회장은 이번 번역으로 우리 문화유산에 대한 관심이 더욱 높아질 것 이라며 임진왜란 때 일본이 약탈한 의방유취 서적에 대한 환수운동도 함께 전개되길 바란다 고 했다 이종길 기자 네이버 채널 설정하고 룰렛 당첨 확인 양낙규의 군사이야기 재미와 신기 과학을읽다 "
"55"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 플라잉 퍼포먼스 중인 스턴트맨을 향해 물총을 쏘고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"56"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"57"," 서울 류효림 기자 일 오후 서울 서대문구 신촌 연세로에서 열린 제 회 신촌물총축제에서 참가자들이 축제를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"58"," 서울 신준희 기자 일 서울 하늘이 맑고 푸르다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"59"," 서울 신준희 기자 일 서울 하늘이 맑고 푸르다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"60"," 서울 신준희 기자 일 서울 남산에서 바라본 하늘이 맑고 푸르다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"61"," 서울 신준희 기자 일 서울 하늘이 맑고 푸르다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
